Speed (m/s),Pace (min/km),Distance (m),Points,Time (min),Squares visited,Groups visited,Maximise Points Solve Time (s),Minimise Distance Solve Time (s),Solve Time (s)
3.9,4.27350427350427,15585.5597947098,207,69.99,16,4,395.508384227753,594.042374372482,989.550758600235
4,4.16666666666667,15911.9173977055,213,69.9,17,4,393.304409980774,153.087680578232,546.392090559006
4.1,4.0650406504065,16170.3617535382,217,69.51,18,4,123.709300994873,112.116471767426,235.825772762299
4.2,3.96825396825397,16614.0871279225,222,69.96,19,5,468.01352596283,161.93594455719,629.94947052002
4.3,3.87596899224806,16776.6223156164,228,69.41,21,5,107.873528718948,51.826509475708,159.700038194656
4.4,3.78787878787879,17375.075569321,241,69.81,19,5,35.4599049091339,22.1185865402222,57.5784914493561
4.5,3.7037037037037,17664.0820310225,245,69.59,20,5,44.6461389064789,28.8735017776489,73.5196406841278
4.6,3.6231884057971,17901.1261665001,247,69.2,21,5,44.7401974201202,33.5717754364014,78.3119728565216
4.7,3.54609929078014,18483.1344054214,254,69.96,21,6,31.2543604373932,23.8640809059143,55.1184413433075
4.8,3.47222222222222,18522.6565194377,260,69.07,23,6,12.7986953258514,8.95107889175415,21.7497742176056
4.9,3.40136054421769,18765.8800620882,262,68.76,24,6,38.3251388072968,15.0310068130493,53.3561456203461
5,3.33333333333333,19587.3250069162,269,69.93,22,6,25.59499335289,21.4926042556763,47.0875976085663
5.1,3.26797385620915,19824.6293960234,271,69.62,23,6,68.75470495224,15.995059967041,84.749764919281
5.2,3.20512820512821,20208.8553598537,282,69.82,24,7,70.8376388549805,7.71080827713013,78.5484471321106
5.3,3.14465408805031,20452.0789025043,284,69.54,25,7,17.102034330368,9.62632322311401,26.7283575534821
5.4,3.08641975308642,20452.0789025043,284,68.35,25,7,25.5442609786987,6.56002497673035,32.1042859554291
5.5,3.03030303030303,21274.9363169444,286,69.78,25,7,27.211475610733,24.8820185661316,52.0934941768646
5.6,2.97619047619048,21711.3022383803,289,69.99,25,7,19.3823523521423,19.6508989334106,39.033251285553
5.7,2.92397660818713,21802.9003362817,291,69.3,26,7,15.3027193546295,14.4681243896484,29.770843744278
5.8,2.8735632183908,22106.3654797889,293,69.26,27,7,37.8128778934479,9.67834281921387,47.4912207126617
5.9,2.82485875706215,22707.7209395654,300,69.57,25,7,21.1687173843384,7.63350820541382,28.8022255897522
6,2.77777777777778,23036.3631729444,312,69.77,27,8,52.7400732040405,6.83125710487366,59.5713303089142
6.1,2.73224043715847,23339.8283164516,314,69.73,28,8,32.9896864891052,3.79124736785889,36.7809338569641
6.2,2.68817204301075,23339.8283164516,314,68.7,28,8,3.93871331214905,4.83748054504395,8.77619385719299
6.3,2.64550264550265,23339.8283164516,314,67.71,28,8,4.80548071861267,4.83710503578186,9.64258575439453
6.4,2.60416666666667,23339.8283164516,314,66.74,28,8,11.8299214839935,5.02919316291809,16.8591146469116
6.5,2.56410256410256,23339.8283164516,314,65.81,28,8,17.9243474006653,5.62360692024231,23.5479543209076
6.6,2.52525252525253,23339.8283164516,314,64.9,28,8,46.4917690753937,6.1065526008606,52.5983216762543
6.7,2.48756218905473,23339.8283164516,314,64.02,28,8,28.8502027988434,4.54256725311279,33.3927700519562
6.8,2.45098039215686,23339.8283164516,314,63.17,28,8,41.2561128139496,5.05381107330322,46.3099238872528
6.9,2.41545893719807,26339.8428084788,317,69.81,28,8,78.8907740116119,9.78649091720581,88.6772649288178
7,2.38095238095238,26922.4368213719,322,69.96,26,8,35.589515209198,12.5934219360352,48.1829371452332
7.1,2.34741784037559,27159.4809568495,327,69.96,28,8,77.3830578327179,7.88357973098755,85.2666375637054
7.2,2.31481481481482,27336.2615096639,328,69.52,28,8,139.194961309433,8.35086512565613,147.545826435089
7.3,2.28310502283105,27573.3056451415,338,69.37,29,9,133.956924676895,5.71087169647217,139.667796373367
7.4,2.25225225225225,27573.3056451415,338,68.52,29,9,130.629425764084,7.07698774337769,137.706413507462
7.5,2.22222222222222,27573.3056451415,338,67.69,29,9,44.0737838745117,6.60841202735901,50.6821959018707
7.6,2.19298245614035,27573.3056451415,338,66.89,29,9,69.9728226661682,5.5973744392395,75.5701971054077
7.7,2.16450216450216,27573.3056451415,338,66.1,29,9,3.729079246521,6.57863473892212,10.3077139854431
7.8,2.13675213675214,27573.3056451415,338,65.34,29,9,21.935230255127,7.08304500579834,29.0182752609253
7.9,2.10970464135021,27573.3056451415,338,64.59,29,9,56.5456976890564,4.78937363624573,61.3350713253021
8,2.08333333333333,27573.3056451415,338,63.86,29,9,8.9102213382721,6.33774876594544,15.2479701042175
